Date,Open,High,Low,Close,Volume,Market Cap,cons_date,date_diff,pos_chg,cum_pos,cost,market_value,cum_cost,pct_return
2017-12-27,16163.5,16930.9,15114.3,15838.5,"12,487,600,000","270,976,000,000",1900-01-01,-43094 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-28,15864.1,15888.4,13937.3,14606.5,"12,336,500,000","265,988,000,000",1900-01-01,-43095 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-29,14695.8,15279.0,14307.0,14656.2,"13,025,500,000","246,428,000,000",1900-01-01,-43096 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-30,14681.9,14681.9,12350.1,12952.2,"14,452,600,000","246,224,000,000",1900-01-01,-43097 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2017-12-31,12897.7,14377.4,12755.6,14156.4,"12,136,300,000","216,326,000,000",1900-01-01,-43098 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-01,14112.2,14112.2,13154.7,13657.2,"10,291,200,000","236,725,000,000",1900-01-01,-43099 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-02,13625.0,15444.6,13163.6,14982.1,"16,846,600,000","228,579,000,000",1900-01-01,-43100 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-03,14978.2,15572.8,14844.5,15201.0,"16,871,900,000","251,312,000,000",1900-01-01,-43101 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-04,15270.7,15739.7,14522.2,15599.2,"21,783,200,000","256,250,000,000",1900-01-01,-43102 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-05,15477.2,17705.2,15202.8,17429.5,"23,840,900,000","259,748,000,000",1900-01-01,-43103 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-06,17462.1,17712.4,16764.6,17527.0,"18,314,600,000","293,091,000,000",1900-01-01,-43104 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-07,17527.3,17579.6,16087.7,16477.6,"15,866,000,000","294,222,000,000",1900-01-01,-43105 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-08,16476.2,16537.9,14208.2,15170.1,"18,413,900,000","276,612,000,000",1900-01-01,-43106 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-09,15123.7,15497.5,14424.0,14595.4,"16,660,000,000","253,935,000,000",1900-01-01,-43107 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-10,14588.5,14973.3,13691.2,14973.3,"18,500,800,000","244,981,000,000",1900-01-01,-43108 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-11,14968.2,15018.8,13105.9,13405.8,"16,534,100,000","251,387,000,000",1900-01-01,-43109 days +00:00:00.000000000,0,0,0.0,0.0,0.0,
2018-01-12,13453.9,14229.9,13158.1,13980.6,"12,065,700,000","225,986,000,000",1900-01-01,-43110 days +00:00:00.000000000,1,1,13980.6,13980.6,13980.6,0.0
2018-01-13,13952.4,14659.5,13952.4,14360.2,"12,763,600,000","234,391,000,000",1900-01-01,-43111 days +00:00:00.000000000,0,1,0.0,14360.2,13980.6,0.0271519105046
2018-01-14,14370.8,14511.8,13268.0,13772.0,"11,084,100,000","241,447,000,000",1900-01-01,-43112 days +00:00:00.000000000,0,1,0.0,13772.0,13980.6,-0.0149206757936
2018-01-15,13767.3,14445.5,13641.7,13819.8,"12,750,800,000","231,334,000,000",1900-01-01,-43113 days +00:00:00.000000000,0,1,0.0,13819.8,13980.6,-0.0115016522896
2018-01-16,13836.1,13843.1,10194.9,11490.5,"18,853,800,000","232,517,000,000",1900-01-01,-43114 days +00:00:00.000000000,0,1,0.0,11490.5,13980.6,-0.178111096806
2018-01-17,11431.1,11678.0,9402.29,11188.6,"18,830,600,000","192,123,000,000",1900-01-01,-43115 days +00:00:00.000000000,0,1,0.0,11188.6,13980.6,-0.199705305924
2018-01-18,11198.8,12107.3,10942.5,11474.9,"15,020,400,000","188,242,000,000",1900-01-01,-43116 days +00:00:00.000000000,0,1,0.0,11474.9,13980.6,-0.179226928744
2018-01-19,11429.8,11992.8,11172.1,11607.4,"10,740,400,000","192,150,000,000",1900-01-01,-43117 days +00:00:00.000000000,0,1,0.0,11607.4,13980.6,-0.169749510035
2018-01-20,11656.2,13103.0,11656.2,12899.2,"11,801,700,000","195,979,000,000",1900-01-01,-43118 days +00:00:00.000000000,0,1,0.0,12899.2,13980.6,-0.0773500422013
2018-01-21,12889.2,12895.9,11288.2,11600.1,"9,935,180,000","216,740,000,000",1900-01-01,-43119 days +00:00:00.000000000,0,1,0.0,11600.1,13980.6,-0.17027166216
2018-01-22,11633.1,11966.4,10240.2,10931.4,"10,537,400,000","195,645,000,000",1900-01-01,-43120 days +00:00:00.000000000,0,1,0.0,10931.4,13980.6,-0.218102227372
2018-01-23,10944.5,11377.6,10129.7,10868.4,"9,660,610,000","184,087,000,000",1900-01-01,-43121 days +00:00:00.000000000,0,1,0.0,10868.4,13980.6,-0.222608471739
2018-01-24,10903.4,11501.4,10639.8,11359.4,"9,940,990,000","183,419,000,000",1900-01-01,-43122 days +00:00:00.000000000,0,1,0.0,11359.4,13980.6,-0.187488376751
2018-01-25,11421.7,11785.7,11057.4,11259.4,"8,873,170,000","192,163,000,000",1900-01-01,-43123 days +00:00:00.000000000,0,1,0.0,11259.4,13980.6,-0.194641145587
2018-01-26,11256.0,11656.7,10470.3,11171.4,"9,746,200,000","189,398,000,000",1900-01-01,-43124 days +00:00:00.000000000,0,1,0.0,11171.4,13980.6,-0.200935582164
2018-01-27,11174.9,11614.9,10989.2,11440.7,"7,583,270,000","188,054,000,000",1900-01-01,-43125 days +00:00:00.000000000,0,1,0.0,11440.7,13980.6,-0.181673175686
2018-01-28,11475.3,12040.3,11475.3,11786.3,"8,350,360,000","193,133,000,000",1900-01-01,-43126 days +00:00:00.000000000,0,1,0.0,11786.3,13980.6,-0.156953206586
2018-01-29,11755.5,11875.6,11179.2,11296.4,"7,107,360,000","197,871,000,000",1900-01-01,-43127 days +00:00:00.000000000,0,1,0.0,11296.4,13980.6,-0.191994621118
