PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,CRM,2019-01-28,148.169998,148.199997,146.100006,147.330002,147.330002,4054700,2019-01-28,28,0.0,5372.684335761879,5000.0,1.0745368671523758
P1,CRM,2019-01-29,147.070007,148.0,144.639999,145.179993,145.179993,3915100,2019-01-29,29,0.0,5294.279940735488,5000.0,1.0588559881470976
P1,CRM,2019-01-30,147.190002,149.690002,146.080002,149.16000400000001,149.16000400000001,4653400,2019-01-30,30,0.0,5439.419033015281,5000.0,1.087883806603056
P1,CRM,2019-01-31,149.020004,153.380005,148.71000700000002,151.970001,151.970001,8615900,2019-01-31,31,0.0,5541.891215601946,5000.0,1.1083782431203892
P1,CRM,2019-02-01,152.399994,155.949997,151.070007,155.869995,155.869995,5959200,2019-02-01,01,6.4156029516777755,6684.11232731662,6000.0,1.1140187212194368
P1,CRM,2019-02-04,156.020004,158.899994,155.41000400000001,157.720001,157.720001,5264700,2019-02-04,04,0.0,6763.445414548771,6000.0,1.1272409024247951
P1,CRM,2019-02-05,158.33999599999999,159.880005,157.820007,158.990005,158.990005,4575600,2019-02-05,05,0.0,6817.906501765341,6000.0,1.1363177502942234
P1,CRM,2019-02-06,159.0,159.100006,155.080002,158.130005,158.130005,4205100,2019-02-06,06,0.0,6781.027456497571,6000.0,1.1301712427495951
P1,CRM,2019-02-07,155.96000700000002,157.059998,153.360001,154.929993,154.929993,4545500,2019-02-07,07,0.0,6643.80258742151,6000.0,1.1073004312369183
P1,CRM,2019-02-08,152.91000400000001,156.699997,152.71000700000002,156.669998,156.669998,3018700,2019-02-08,08,0.0,6718.418544585636,6000.0,1.119736424097606
P1,CRM,2019-02-11,158.199997,161.5,157.570007,159.91000400000001,159.91000400000001,7125500,2019-02-11,11,0.0,6857.3584607970915,6000.0,1.1428930767995154
