Date,Open,High,Low,Close,Volume,Market Cap,cons_date,date_diff,pos_chg,cum_pos,cost,market_value,cum_cost,pct_return
2018-05-20,8246.99,8562.41,8205.24,8513.25,5191059968,140555894784,1900-01-01,-43238 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.662026660985913,5.0,-0.06759466780281742
2018-05-21,8522.33,8557.52,8365.12,8418.99,5154990080,145264312320,1900-01-01,-43239 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.6104079920798515,5.0,-0.07791840158402974
2018-05-22,8419.87,8423.25,8004.58,8041.78,5137010176,143533998080,1900-01-01,-43240 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.403840221041706,5.0,-0.1192319557916589
2018-05-23,8037.08,8054.66,7507.88,7557.82,6491120128,137023922176,1900-01-01,-43241 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.138814006276399,5.0,-0.1722371987447202
2018-05-24,7561.12,7738.6,7331.14,7587.34,6049220096,128924786688,1900-01-01,-43242 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.154979751089756,5.0,-0.16900404978204886
2018-05-25,7592.3,7659.14,7392.65,7480.14,4867829760,129469906944,1900-01-01,-43243 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.096274878325806,5.0,-0.18074502433483874
2018-05-26,7486.48,7595.16,7349.12,7355.88,4051539968,127681822720,1900-01-01,-43244 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.028227606967147,5.0,-0.19435447860657062
2018-05-27,7362.08,7381.74,7270.96,7368.22,4056519936,125574873088,1900-01-01,-43245 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.034985238775982,5.0,-0.19300295224480357
2018-05-28,7371.31,7419.05,7100.89,7135.99,5040600064,125747650560,1900-01-01,-43246 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,3.9078114271904227,5.0,-0.2184377145619154
2018-05-29,7129.46,7526.42,7090.68,7472.59,5662660096,121636012032,1900-01-01,-43247 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.092140346708569,5.0,-0.18157193065828614
2018-05-30,7469.73,7573.77,7313.6,7406.52,4922540032,127453937664,1900-01-01,-43248 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.055959087907132,5.0,-0.18880818241857367
2018-05-31,7406.15,7608.9,7361.13,7494.17,5127130112,126385594368,1900-01-01,-43249 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.103957988072804,5.0,-0.17920840238543911
2018-06-01,7500.7,7604.73,7407.34,7541.45,4921460224,128014475264,1900-01-01,-43250 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.129849465538098,5.0,-0.1740301068923804
2018-06-02,7536.72,7695.83,7497.26,7643.45,4939299840,128645062656,1900-01-01,-43251 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.185706713876931,5.0,-0.1628586572246139
2018-06-03,7632.09,7754.89,7613.04,7720.25,4851760128,130287656960,1900-01-01,-43252 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.227763936155581,5.0,-0.15444721276888385
2018-06-04,7722.53,7753.82,7474.04,7514.47,4993169920,131847151616,1900-01-01,-43253 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.115074675732396,5.0,-0.17698506485352072
2018-06-05,7500.9,7643.23,7397.0,7633.76,4961739776,128080510976,1900-01-01,-43254 days +00:00:00.000000000,0.0,0.0005476200817532568,0.0,4.180400275284741,5.0,-0.16391994494305173
